fetched_at_utc,status,sha256,size_bytes,path,error
2026-09-24T15:58:25Z,new,802471bffbb82be604daee691f0dfcdbbffdb1c8261a2846025c5ed9f2545cb8,590069,2026/09/24/port_status_20260924T155825Z.pdf,
2026-09-24T23:03:29Z,new,70339c23e5c6200cef726bfbca56d8fc3ca33fe0efb3994568086b2158ff3d4f,590412,2026/09/24/port_status_20260924T230329Z.pdf,
2026-09-25T10:06:43Z,new,3756d5995ac7685879bca253720958b898c2499715aeb40ddae7d2797e2700d8,590512,2026/09/25/port_status_20260925T100643Z.pdf,
